interactorBAltId,score,biologicalRole,interactionEvidenceEntries,gene
ATP5PB,0.56,"A: unspecified role, B: unspecified role",3,HTT
TMUB2,0.56,"A: unspecified role, B: unspecified role",6,HTT
ING4,0.56,"A: unspecified role, B: unspecified role",3,HTT
RASSF5,0.56,"A: unspecified role, B: unspecified role",3,HTT
SNRPD2,0.56,"A: unspecified role, B: unspecified role",3,HTT
PIH1D2,0.56,"A: unspecified role, B: unspecified role",3,HTT
TGFBR2,0.56,"A: unspecified role, B: unspecified role",3,HTT
TGM2,0.56,"A: unspecified role, B: unspecified role",6,HTT
TNFRSF11B,0.56,"A: unspecified role, B: unspecified role",3,HTT
PMF1,0.56,"A: unspecified role, B: unspecified role",3,HTT
PTCH1,0.56,"A: unspecified role, B: unspecified role",3,HTT
VHL,0.56,"A: unspecified role, B: unspecified role",12,HTT
ZNF281,0.56,"A: unspecified role, B: unspecified role",3,HTT
GOLGA2,0.56,"A: unspecified role, B: unspecified role",3,HTT
ARFIP2,0.56,"A: unspecified role, B: unspecified role",3,HTT
BAIAP2,0.56,"A: unspecified role, B: unspecified role",18,HTT
A2RU56,0.56,"A: unspecified role, B: unspecified role",9,HTT
KRT19,0.56,"A: unspecified role, B: unspecified role",6,HTT
KRT20,0.56,"A: unspecified role, B: unspecified role",9,HTT
Q0VG73,0.56,"A: unspecified role, B: unspecified role",6,HTT
TWIST1,0.56,"A: unspecified role, B: unspecified role",3,HTT
TRIM49,0.56,"A: unspecified role, B: unspecified role",9,HTT
MAT1A,0.56,"A: unspecified role, B: unspecified role",3,HTT
WTAP,0.56,"A: unspecified role, B: unspecified role",3,HTT
ERP27,0.56,"A: unspecified role, B: unspecified role",3,HTT
ZNF180,0.56,"A: unspecified role, B: unspecified role",9,HTT
RAPSN,0.56,"A: unspecified role, B: unspecified role",18,HTT
U2AF1,0.56,"A: unspecified role, B: unspecified role",3,HTT
SPATA2L,0.56,"A: unspecified role, B: unspecified role",6,HTT
RPL26L1,0.56,"A: unspecified role, B: unspecified role",3,HTT
MAF1,0.56,"A: unspecified role, B: unspecified role",3,HTT
PSMB6,0.56,"A: unspecified role, B: unspecified role",3,HTT
RPS5,0.56,"A: unspecified role, B: unspecified role",3,HTT
DDX41,0.56,"A: unspecified role, B: unspecified role",6,HTT
SOCS4,0.56,"A: unspecified role, B: unspecified role",3,HTT
H4C16,0.56,"A: unspecified role, B: unspecified role",3,HTT
CRACR2A,0.56,"A: unspecified role, B: unspecified role",9,HTT
CCNC,0.56,"A: unspecified role, B: unspecified role",9,HTT
RPL31,0.56,"A: unspecified role, B: unspecified role",3,HTT
ATP6AP1,0.56,"A: unspecified role, B: unspecified role",3,HTT
PPP1R21,0.56,"A: unspecified role, B: unspecified role",9,HTT
A8K3Q9,0.56,"A: unspecified role, B: unspecified role",3,HTT
STAM2,0.56,"A: unspecified role, B: unspecified role",6,HTT
EIF2S2,0.56,"A: unspecified role, B: unspecified role",12,HTT
IFT57,0.56,"A: unspecified role, B: unspecified role",3,HTT
H4C6,0.56,"A: unspecified role, B: unspecified role",3,HTT
NEUROD1,0.56,"A: unspecified role, B: unspecified role",6,HTT
ZXDC,0.56,"A: unspecified role, B: unspecified role",3,HTT
DALRD3,0.56,"A: unspecified role, B: unspecified role",9,HTT
KLF12,0.56,"A: unspecified role, B: unspecified role",3,HTT
USP32,0.56,"A: unspecified role, B: unspecified role",18,HTT
APP,0.56,"A: unspecified role, B: unspecified role",6,HTT
LCE1B,0.56,"A: unspecified role, B: unspecified role",15,HTT
RUFY4,0.56,"A: unspecified role, B: unspecified role",3,HTT
SRGAP3,0.56,"A: unspecified role, B: unspecified role",3,HTT
SPATA12,0.56,"A: unspecified role, B: unspecified role",3,HTT
WWP2,0.56,"A: unspecified role, B: unspecified role",9,HTT
PSMA1,0.56,"A: unspecified role, B: unspecified role",3,HTT
NUDT1,0.56,"A: unspecified role, B: unspecified role",6,HTT
PRIM1,0.56,"A: unspecified role, B: unspecified role",3,HTT
MOG,0.56,"A: unspecified role, B: unspecified role",12,HTT
SPINK13,0.56,"A: unspecified role, B: unspecified role",3,HTT
SDCBP,0.56,"A: unspecified role, B: unspecified role",12,HTT
SFXN3,0.56,"A: unspecified role, B: unspecified role",9,HTT
SMN1,0.56,"A: unspecified role, B: unspecified role",9,HTT
ALG2,0.56,"A: unspecified role, B: unspecified role",3,HTT
PCDHGB1,0.56,"A: unspecified role, B: unspecified role",3,HTT
DIPK1A,0.56,"A: unspecified role, B: unspecified role",3,HTT
FBP1,0.56,"A: unspecified role, B: unspecified role",3,HTT
KRTAP11-1,0.56,"A: unspecified role, B: unspecified role",3,HTT
RAN,0.56,"A: unspecified role, B: unspecified role",6,HTT
IFT20,0.56,"A: unspecified role, B: unspecified role",6,HTT
LDB1,0.56,"A: unspecified role, B: unspecified role",3,HTT
ERICH2,0.56,"A: unspecified role, B: unspecified role",3,HTT
TRIP10,0.56,"A: unspecified role, B: unspecified role",18,HTT
MEAF6,0.56,"A: unspecified role, B: unspecified role",6,HTT
RXRG,0.56,"A: unspecified role, B: unspecified role",18,HTT
OOSP2,0.56,"A: unspecified role, B: unspecified role",9,HTT
CCDC120,0.56,"A: unspecified role, B: unspecified role",3,HTT
E2F8,0.56,"A: unspecified role, B: unspecified role",12,HTT
ZSCAN9,0.56,"A: unspecified role, B: unspecified role",9,HTT
CHMP2A,0.56,"A: unspecified role, B: unspecified role",3,HTT
SNRPF,0.56,"A: unspecified role, B: unspecified role",3,HTT
MORF4L2,0.56,"A: unspecified role, B: unspecified role",12,HTT
PICK1,0.56,"A: unspecified role, B: unspecified role",3,HTT
ARL16,0.56,"A: unspecified role, B: unspecified role",18,HTT
RASA1,0.56,"A: unspecified role, B: unspecified role",3,HTT
STX16,0.56,"A: unspecified role, B: unspecified role",15,HTT
CDCA7,0.56,"A: unspecified role, B: unspecified role",3,HTT
HMBS,0.56,"A: unspecified role, B: unspecified role",3,HTT
IQSEC1,0.56,"A: unspecified role, B: unspecified role",18,HTT
RAB35,0.56,"A: unspecified role, B: unspecified role",3,HTT
NLK,0.56,"A: unspecified role, B: unspecified role",3,HTT
EFEMP1,0.56,"A: unspecified role, B: unspecified role",3,HTT
EWSR1,0.56,"A: unspecified role, B: unspecified role",3,HTT
PELI1,0.56,"A: unspecified role, B: unspecified role",3,HTT
ALDOA,0.56,"A: unspecified role, B: unspecified role",6,HTT
TNXB,0.56,"A: unspecified role, B: unspecified role",3,HTT
DAZAP2,0.56,"A: unspecified role, B: unspecified role",3,HTT
TCP10L,0.56,"A: unspecified role, B: unspecified role",3,HTT
TALDO1,0.56,"A: unspecified role, B: unspecified role",3,HTT
POC1A,0.56,"A: unspecified role, B: unspecified role",15,HTT
DPYSL2,0.56,"A: unspecified role, B: unspecified role",3,HTT
CSF2,0.56,"A: unspecified role, B: unspecified role",15,HTT
KRTAP10-7,0.56,"A: unspecified role, B: unspecified role",9,HTT
ZC2HC1C,0.56,"A: unspecified role, B: unspecified role",3,HTT
FAM163A,0.56,"A: unspecified role, B: unspecified role",12,HTT
SPCS3,0.56,"A: unspecified role, B: unspecified role",6,HTT
CLEC2B,0.56,"A: unspecified role, B: unspecified role",9,HTT
CPT1B,0.56,"A: unspecified role, B: unspecified role",6,HTT
SF3B3,0.56,"A: unspecified role, B: unspecified role",3,HTT
FICD,0.56,"A: unspecified role, B: unspecified role",3,HTT
LMAN2L,0.56,"A: unspecified role, B: unspecified role",3,HTT
NR1H3,0.56,"A: unspecified role, B: unspecified role",3,HTT
NUDT4,0.56,"A: unspecified role, B: unspecified role",6,HTT
ZNF500,0.56,"A: unspecified role, B: unspecified role",6,HTT
WAC,0.56,"A: unspecified role, B: unspecified role",3,HTT
PALS1,0.56,"A: unspecified role, B: unspecified role",3,HTT
OGDH,0.56,"A: unspecified role, B: unspecified role",3,HTT
MECP2,0.56,"A: unspecified role, B: unspecified role",18,HTT
FZD4,0.56,"A: unspecified role, B: unspecified role",9,HTT
ZHX1-C8orf76,0.56,"A: unspecified role, B: unspecified role",18,HTT
S100P,0.56,"A: unspecified role, B: unspecified role",9,HTT
SEPTIN6,0.56,"A: unspecified role, B: unspecified role",18,HTT
ID2,0.56,"A: unspecified role, B: unspecified role",6,HTT
KIAA0408,0.56,"A: unspecified role, B: unspecified role",6,HTT
USP2,0.56,"A: unspecified role, B: unspecified role",6,HTT
TACC1,0.56,"A: unspecified role, B: unspecified role",12,HTT
SNAP29,0.56,"A: unspecified role, B: unspecified role",3,HTT
CASP3,0.56,"A: unspecified role, B: unspecified role",9,HTT
CPSF3,0.56,"A: unspecified role, B: unspecified role",3,HTT
HYAL2,0.56,"A: unspecified role, B: unspecified role",9,HTT
RYBP,0.56,"A: unspecified role, B: unspecified role",9,HTT
TBC1D5,0.56,"A: unspecified role, B: unspecified role",3,HTT
VPS4B,0.56,"A: unspecified role, B: unspecified role",3,HTT
CASP7,0.56,"A: unspecified role, B: unspecified role",12,HTT
DENND2B,0.56,"A: unspecified role, B: unspecified role",3,HTT
KRT18,0.56,"A: unspecified role, B: unspecified role",6,HTT
HSPA1A,0.56,"A: unspecified role, B: unspecified role",9,HTT
PQBP1,0.56,"A: unspecified role, B: unspecified role",3,HTT
CDH13,0.56,"A: unspecified role, B: unspecified role",6,HTT
AP2B1,0.56,"A: unspecified role, B: unspecified role",18,HTT
HMG20B,0.56,"A: unspecified role, B: unspecified role",3,HTT
TGDS,0.56,"A: unspecified role, B: unspecified role",3,HTT
EIF2S3,0.56,"A: unspecified role, B: unspecified role",3,HTT
RPS27A,0.56,"A: unspecified role, B: unspecified role",6,HTT
